,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,300000.0,11.052402,1.2712393,9.781163,-0.15458481,0.84768105,0.99210446,0.75187268,-3.5502959,3.0,4.9317925,7.3815992,7.4076762,0.0061020185,0.0071021081,-0.060718119,0.033490302,4.7668416,4.786931,0.17973591,0.075,1.6032738,0.5,0.019970657,25.036733,2.8413474,30.801768,-0.0013067444,-0.10607913,0.0046220703,0.1166353,0.10131621,3.8478628
1,301000.0,11.097721,1.3333437,9.7643777,-0.1733535,0.88909323,0.99232146,0.82071791,-3.5502959,3.0,5.3595018,7.6131513,7.7291787,0.73617541,-0.0035562516,0.0086649321,-0.036210096,5.1794472,5.2146086,0.19733444,0.075,1.5807473,0.5,0.021926049,22.803927,2.7958575,30.801768,0.001942519,-0.081476448,0.017091321,0.33787768,-1.3791959,0.77687832
2,302000.0,11.042152,1.2904033,9.7517489,-0.19168872,0.8604599,1.0034657,0.76559977,-3.5502959,3.0,5.0492607,7.4448411,7.4064623,0.29647875,-0.0064604889,-0.11761447,-0.019557551,4.8812983,4.9027403,0.21066113,0.075,1.5808783,0.5,0.023406792,21.361321,2.8036076,30.801768,-0.016835544,-0.12056212,-0.002229172,0.43071239,2.3621594,-3.9456675
3,303000.0,10.991123,1.2920384,9.6990848,-0.20671052,0.86155022,0.99807205,0.77100592,-3.5502959,3.0,5.0939013,7.4482424,7.5108065,0.32265502,0.0076155961,0.032590705,-0.045591811,4.9247528,4.9481685,0.22187755,0.075,1.5950442,0.5,0.024653061,20.281457,2.82466,30.801768,0.0081283509,-0.12699913,-0.025346079,0.4073106,0.29551556,-2.7589562
4,304000.0,11.008992,1.2760702,9.7329222,-0.20114313,0.85090241,0.9916645,0.75753204,-3.5502959,3.0,5.0369056,7.4257418,7.4327705,0.2522046,-0.03671727,-0.18244344,-0.0099435574,4.8707131,4.8921084,0.2316015,0.075,1.5933765,0.5,0.0257335,19.429926,2.8080316,30.801768,0.012559504,-0.12128459,-0.0084255086,0.3501367,2.1435733,6.4455414
5,305000.0,10.951946,1.2614481,9.6904982,-0.2128234,0.84115215,0.99893908,0.73644719,-3.5502959,3.0,4.9166771,7.2893997,7.4286242,0.032007315,0.0090622395,0.16736723,-0.0078163565,4.7551103,4.7708177,0.24197062,0.075,1.5690401,0.5,0.026885625,18.597299,2.7927854,30.801768,-0.0097414832,-0.1144198,0.0022783912,0.36299642,-3.2898979,-1.2233815
6,306000.0,10.976461,1.2718706,9.7045903,-0.19673543,0.84810202,0.98424112,0.75780749,-3.5502959,3.0,5.3021495,7.6039539,7.6785663,0.6239284,-0.02208268,0.11737606,-0.015198523,5.1358966,5.1584362,0.25138001,0.075,1.5532967,0.5,0.027931113,17.901185,2.808329,30.801768,0.0041627273,-0.12555005,-0.021425454,0.39265379,0.47131688,4.2791929
7,307000.0,11.000269,1.2933998,9.7068689,-0.21155889,0.86245802,1.0042647,0.76839667,-3.5502959,3.0,5.1384226,7.541312,7.4882872,0.38566855,0.01051498,-0.14307796,-0.023364901,4.9698465,4.9917855,0.26249244,0.075,1.5670763,0.5,0.029165827,17.143351,2.8178406,30.801768,-0.0021505468,-0.12600005,-0.0016950986,0.37280842,0.46333393,1.8005745
8,308000.0,11.038757,1.3044388,9.7343187,-0.19935984,0.86981898,1.0233469,0.76795925,-3.5502959,3.0,5.1882056,7.585855,7.5137291,0.46503282,-0.0090210111,-0.095993739,-0.059658698,5.0197255,5.0387823,0.27314016,0.075,1.5703762,0.5,0.030348907,16.475058,2.8022937,30.801768,-0.0092863034,-0.11105757,-0.0080985429,0.37597967,-1.9189796,3.9174766
9,309000.0,10.969178,1.2511547,9.7180233,-0.2025965,0.83428835,0.98767986,0.73250625,-3.5502959,3.0,4.9607206,7.3446651,7.4099,0.12759669,0.010158438,0.039909233,-0.052969766,4.8000184,4.8165052,0.28475255,0.075,1.5636525,0.5,0.031639172,15.803195,2.8117362,30.801768,-0.015462283,-0.10477578,-0.03535447,0.38256643,1.7715123,-4.0100918
